num, ref
49473534, 1726
49473546, 1733
49473550, 1742
49473551, 1703
49473554, 1745
49473556, 1722
49473558, 1751
49473563, 1724
49473718, 1660
49473723, 1684
49473727, 1673
49473729, 1671
49474213, 1002
49474214, 1102
49474215, 1008
49474216, 1110
49474217, 1009
49474218, 1111
49474219, 1004
49474220, 1104
49474221, 1005
49474222, 1105
49474223, 1017
49474224, 1106
49474225, 1001
49474226, 1006
49474227, 1007
49474228, 1010
49474229, 1020
49474230, 1107
49474231, 1015
49474232, 1019
49474233, 1101
49474234, 806
49474235, 1014
49474245, 20777
49474273, 426
49475276, 1597
49475277, 1481
49475278, 1471
49475279, 1650
49475577, 20545
49476125, 20306
49476126, 20400
49477607, 20218
49477622, 20433
49477686, 20240
49477944, 20334
49477945, 1080
49477946, 1058
49477947, 1053
49477948, 1051
49478043, 1181
49478377, 20769
49478395, 9436
49478427, 9593
49478452, 1100
49478453, 1103
49478454, 1003
49478455, 1000
49478456, 1108
49478457, 820
49478458, 1011
49478459, 1109
49478460, 807
49478461, 20999
49478502, 20300
49478507, 8356
49478508, 2017
49478509, 7993
49478510, 7
49478513, 2027
49478533, 8366
49478537, 2000
49478543, 2090
49478545, 2078
49478549, 883
49478552, 8382
49478553, 882
49478556, 8393
49478565, 2049
49478566, 205
49478567, 2001
49478568, 2035
49478569, 827
49478570, 203
49478571, 2016
49478572, 2012
49478573, 891
49478574, 2022
49478575, 2011
49478577, 4
49478578, 20299
49478579, 8111
49478595, 20724
49478596, 20598
49478600, 20774
49478601, 20710
49478626, 20566
49478627, 8186
49478634, 20262
49478635, 1611
49478636, 7693
49478638, 20694
49478639, 2699
49478641, 20614
49478644, 7672
49478646, 7694
49478647, 5536
49478648, 20514
49478649, 7681
49478650, 7642
49478652, 20278
49478656, 7668
49479048, 7903
49479122, 4791
49479131, 20214
49479174, 8601
49479175, 8621
49479179, 8603
49479220, 8520
49479221, 8615
49479231, 8523
49479266, 8524
49479269, 8605
49479291, 8530
49479297, 8527
49479298, 8517
49479299, 8516
49479300, 8531
49479301, 8532
49479302, 8518
49479303, 8522
49479304, 8519
49479305, 8521
49479306, 8533
49479307, 8529
49479332, 8525
49479333, 8528
49479334, 8526
49479448, 20172
49479449, 20193
49479450, 20086
49479498, 1800
49479499, 1822
49479505, 1809
49479514, 1803
49479528, 1810
49479538, 1820
49479543, 1816
49479549, 1802
49479553, 1813
49479582, 1808
49479585, 1821
49479597, 1811
49479599, 1817
49479604, 1801
49479611, 1814
49479618, 1807
49479772, 20233
49479773, 20968
49480388, 204
49480390, 210
49480392, 2051
49480393, 207
49480419, 8696
49480431, 20568
49480434, 20521
49480435, 20522
49480447, 20885
49480450, 20582
49480454, 20550
49480455, 20889
49480459, 20878
49480463, 7968
49480465, 7960
49480466, 7945
49480608, 20913
49480609, 20966
49480753, 7292
49480755, 20163
49480764, 20146
49480766, 20075
49480772, 20070
49480777, 20031
49480779, 7223
49480781, 20121
49480783, 7237
49480786, 20051
49480791, 20170
49480805, 7163
49480814, 20150
49480815, 20033
49480817, 20144
49480818, 20173
49480833, 20013
49480864, 8362
49480871, 2692
49482512, 7901
49482718, 8966
49482719, 5708
49482720, 8906
49482721, 8998
49482722, 5704
49482723, 8917
49482724, 5709
49482725, 5738
49482726, 8980
49482727, 8967
49482728, 5773
49482729, 5741
49482730, 8902
49482731, 5726
49482732, 8942
49482733, 5786
49482734, 8999
49482735, 5707
49482736, 5712
49482737, 5705
49482738, 5783
49482739, 8961
49482740, 8978
49482741, 20875
49482742, 20908
49482743, 8028
49482744, 9600
49482745, 5219
49482746, 8090
49482747, 8083
49482748, 659
49482749, 9615
49482750, 94
49482751, 8082
49482752, 8096
49482753, 8089
49482754, 5216
49482755, 8063
49482756, 8088
49482757, 8067
49482758, 9608
49482759, 5217
49482760, 8097
49482761, 9611
49482762, 5218
49482763, 8022
49482764, 8099
49482765, 8014
49482766, 9606
49482775, 20782
49482778, 4181
49482783, 83
49482784, 8697
49482785, 6956
49482786, 86
49482787, 57
49482799, 20405
49482804, 8162
49482805, 2669
49482806, 5068
49482807, 5081
49482810, 8700
49482812, 5095
49482813, 8188
49482815, 20952
49482816, 5094
49482856, 6950
49482896, 20854
49482897, 20848
49482902, 20845
49482931, 20846
49482935, 20886
49482940, 20843
49482946, 20847
49482947, 5953
49482953, 20852
49482963, 20844
49482964, 20841
49482977, 5004
49482978, 215
49482979, 20887
49482980, 20736
49482981, 20720
49482982, 296
49482983, 270
49482984, 20733
49482985, 233
49482986, 101
49482987, 20961
49482988, 217
49482989, 20833
49482990, 230
49482991, 20977
49482992, 20880
49482993, 231
49482994, 20755
49482995, 249
49482996, 20800
49482997, 20898
49483000, 4145
49483043, 6066
49483046, 20581
49483047, 5571
49483048, 7510
49483049, 7514
49483053, 9294
49483054, 5813
49483055, 7528
49483056, 7511
49483057, 7520
49483061, 7525
49483062, 5534
49483063, 1564
49483064, 7529
49483066, 7522
49483068, 1584
49483069, 7526
49483070, 7512
49483071, 7527
49483074, 7518
49483077, 5096
49483078, 7519
49483079, 5015
49483080, 7521
49483082, 7517
49483083, 7516
49483084, 7513
49483086, 7523
49483094, 7524
49483096, 42
49483100, 7515
49483102, 20422
49483103, 3481
49483104, 3793
49483105, 4002
49483106, 4574
49483112, 4729
49483113, 4081
49483114, 4444
49483115, 2105
49483117, 4547
49483119, 3585
49483120, 3507
49483121, 3794
49483122, 3767
49483125, 4573
49483126, 4029
49483129, 3560
49483130, 3455
49483131, 4261
49483135, 4599
49483136, 3819
49483137, 4521
49483140, 3845
49483141, 3715
49483142, 4419
49483144, 3871
49483145, 3639
49483147, 4652
49483149, 3975
49483151, 4755
49483153, 3429
49483154, 4183
49483156, 3897
49483157, 4443
49483159, 4653
49483161, 7786
49483163, 3689
49483164, 4365
49483165, 4287
49483166, 4600
49483167, 4313
49483170, 4391
49483171, 3637
49483174, 4314
49483175, 3403
49483265, 2500
49483353, 4113
49483457, 2
49483458, 3
49483459, 74
49483462, 70
49483463, 88
49483503, 63
49483695, 8549
49483696, 8434
49483697, 3457
49483698, 8301
49483699, 4763
49483700, 4776
49483701, 4772
49483702, 4771
49483703, 4783
49483704, 5341
49483705, 5395
49483706, 5383
49483707, 5391
49483708, 5821
49483709, 5850
49483710, 5147
49483711, 5152
49483713, 5860
49483714, 8921
49483716, 8585
49483718, 5847
49483719, 5893
49483725, 8042
49483726, 5826
49483727, 5002
49483729, 7816
49483730, 7891
49483731, 7889
49483738, 4705
49483760, 4731
49484025, 7097
49484026, 7085
49484027, 7065
49484028, 7094
49484099, 5940
49484144, 5204
49484145, 5208
49484146, 5209
49484165, 5212
49484177, 5214
49484206, 7004
49484208, 6975
49484212, 5213
49484230, 5206
49484253, 5210
49484290, 5211
49484318, 5144
49484430, 1365
49484542, 6941
49484625, 6671
49484644, 4704
49484663, 8591
49484664, 8201
49484665, 9716
49484670, 2891
49484672, 8276
49484701, 8246
49484702, 7001
49484704, 7083
49484715, 2816
49484718, 2846
49484719, 2876
49484721, 9781
49484740, 2831
49484839, 8265
49484885, 8157
49484886, 4848
49484892, 3236
49484893, 3294
49484894, 7062
